"Record ID","Intake Date","Intake Channel","Business Category","Complaint Code","Business Unique ID","Business Name","Result Date","Result","Referred To","Contract Cancelled Amount","Refund Amount","Building Nbr","Street1","Unit Type","Apt/Suite","City","Postcode","Borough"
"074179-2025-CMPL","09/22/2025","Email/Fax","Other",,"BA-1748012-2025","CFSC Checks Cashed Broadway","09/22/2025","Referred","NYS Department of Financial Services",,,"785","BROADWAY",,,"BROOKLYN","11206","Brooklyn"
"074118-2025-CMPL","09/22/2025","311","Other","Unlicensed","BA-1748157-2025","na","09/24/2025","Complaint Review Complete",,,,"17015","90TH AVE",,,"JAMAICA","11432","Queens"
"074115-2025-CMPL","09/22/2025","311","Electronic & Home Appliance Service Dealer","Unlicensed",,,"09/23/2025","No Jurisdiction",,,,,,,,,,
"074136-2025-CMPL","09/22/2025","Email/Fax","Other",,"BA-1747962-2025","Uber Technologies","09/22/2025","Referred","NYC Taxi & Limousine Commission",,,"175","GREENWICH ST",,,"NEW YORK","10007","Manhattan"
"074144-2025-CMPL","09/22/2025","311","Retail Laundry","Overcharge","BA-1748168-2025","Laundromat","09/24/2025","Insufficient Info Received",,,,"355","E 65TH ST",,,"NEW YORK","10065",
"074127-2025-CMPL","09/22/2025","Email/Fax","Specialized Vending License - MFV",,,,"09/22/2025","Insufficient Info Received",,,,,,,,,,
"074147-2025-CMPL","09/22/2025","311","General Vendor","Condemned/Expired Scale",,,"09/23/2025","Insufficient Info Received",,,,,,,,,,
"074185-2025-CMPL","09/22/2025","311","Tobacco Retail Dealer","Unlicensed",,,"09/23/2025","Referred","Other",,,,,,,,,
"074157-2025-CMPL","09/22/2025","311","Tax Preparers","Advertising/Misleading - A02",,,"09/23/2025","Insufficient Info Received",,,,,,,,,,
"074183-2025-CMPL","09/22/2025","311","Gas Station-Retail","Exchange/Refund/Return","BA-1441916-2022","NATT AUTO CENTER INC.","09/24/2025","Complaint Review Complete",,,,"21160","HILLSIDE AVE",,,"QUEENS VLG","11427","Queens"
"074167-2025-CMPL","09/22/2025","311","Car Wash","Sidewalk Blocked; Unlicensed",,,"09/23/2025","Referred","NYC Department of Sanitation",,,,,,,,,
"074149-2025-CMPL","09/22/2025","Email/Fax","Specialized Vending License - MFV",,,,"09/22/2025","Referred","NYC Department of Environmental Protection",,,,,,,,,
"074163-2025-CMPL","09/22/2025","311","Other","Damaged Goods - D01","BA-1748283-2025","Residential Property","09/25/2025","Complaint Review Complete",,,,"800","GRAND CONCOURSE",,,"BRONX","10451","Bronx"
"074112-2025-CMPL","09/22/2025","311","Other","Damaged Goods - D01","BA-1747968-2025","MEMORIAL SLOAN KETTERING CANCER CENTER","09/22/2025","Complaint Review Complete",,,,"633","3RD AVE",,,"NEW YORK","10017","Manhattan"
"074119-2025-CMPL","09/22/2025","311","Stoop Line Stand","Sidewalk Blocked",,,"09/23/2025","Referred","NYC Department of Sanitation",,,"612","W 152ND ST",,,"NEW YORK","10031",
"074165-2025-CMPL","09/22/2025","311","Garage & Parking Lot","Price Not Posted","BA-1748036-2025","Phillis International","09/23/2025","Insufficient Info Received",,,,"31-27","48 STREET",,,"ASTORIA","11103","Queens"
"074131-2025-CMPL","09/22/2025","311","Misc Non-Food Retail","Unlicensed",,,"09/25/2025","Referred","NYC Department of Buildings",,,,"1035 PARK AVENUE",,"14B","NEW YORK","10028","Manhattan"
"074099-2025-CMPL","09/22/2025","311","Misc Non-Food Retail","Price Gouging",,,"09/22/2025","Referred","NYS Office of the Attorney General",,,,,,,,,
"074116-2025-CMPL","09/22/2025","311","Tow Truck Company","Billing Dispute - B02","BA-1748090-2025","state to state automotive","09/29/2025","Duplicate Complaint - DUP",,,,"1332","ATLANTIC AVE",,,"BROOKLYN","11216","Brooklyn"
"074162-2025-CMPL","09/22/2025","311","Auto Rental","Non-Delivery of Goods - N01","BA-1748152-2025","Sally TLC","10/24/2025","Requested Information Not Provided",,,,"2359","BORDEN AVE",,,"LONG ISLAND CITY","11101","Queens"
"074141-2025-CMPL","09/22/2025","311","Garage & Parking Lot","Overcharge","BA-1717318-2024","METROPOLITAN 51 PARKING LLC","10/15/2025","Credit Card Refund and/or Contract Cancelled - CRC",,,"$4","569","LEXINGTON AVE",,,"NEW YORK","10022","Manhattan"
"074153-2025-CMPL","09/22/2025","311","Mini-Storage Company","Lost/Stolen/Damaged Property","BA-1748356-2025","CUBESMART","10/24/2025","Requested Information Not Provided",,,,"21501","42ND AVE",,,"BAYSIDE","11361","Queens"
"074177-2025-CMPL","09/22/2025","311","Tow Truck Company","Unsolicited/Unauthorized Services","BA-1748050-2025","Brooklyn tow Pound","10/23/2025","Requested Information Not Provided",,,,"26","NAVY ST",,,"BROOKLYN","11201","Brooklyn"
"074125-2025-CMPL","09/22/2025","Online","Other","Other - Z01","BA-1747952-2025","Laboratory Corporation of America","10/09/2025","Referred","NYC Commission on Human Rights",,,,"2035 Ralph Ave",,,"Brooklyn","11234","Brooklyn"
"074156-2025-CMPL","09/22/2025","Online","Appliances","Other - Z01","BA-1750457-2025","Wilshire Refrigeration & Appliance, Inc.","10/15/2025","Referred","Other",,,"673","41ST ST","APT","14","BROOKLYN","11232","Brooklyn"
"074168-2025-CMPL","09/22/2025","Email/Fax","Salons And Barbershop",,"BA-1540593-2022","SOGHO EXPRESS AFRICAN HAIR BRAIDING","10/22/2025","Requested Information Not Provided",,,,"1497","FULTON ST",,,"BROOKLYN","11216","Brooklyn"
"074145-2025-CMPL","09/22/2025","Online","Other",,"BA-1747979-2025","Calico Vision","10/10/2025","Referred","Court System",,,"1271","E 94TH ST",,,"BROOKLYN","11236","Brooklyn"
"074103-2025-CMPL","09/22/2025","Online","Other","Billing Dispute - B02; Other - Z01","BA-1719485-2025","Metergy Solutions LLC","10/03/2025","Referred","Other",,,"331","E 29TH ST","APT","5D","NEW YORK","10016","Manhattan"
"074124-2025-CMPL","09/22/2025","Online","Salons And Barbershop","Unlicensed",,,"10/10/2025","Referred","Other",,,"1585","MCDONALD AVE",,,"BROOKLYN","11230","Brooklyn"
"074180-2025-CMPL","09/22/2025","Online","Car Wash","Unlicensed","BA-1699092-2024","UNLICENSED CAR WASH PARK AVE & ST PAULS PL","10/09/2025","Referred","NYC Department of Sanitation",,,,"PARK AVENUE",,,"Bronx","10456","Bronx"
"074137-2025-CMPL","09/22/2025","Online","Other","Other - Z01","BA-1747964-2025","Verizon","10/09/2025","Referred","Federal Communications Commission",,,"139","FLATBUSH AVE",,,"BROOKLYN","11217","Brooklyn"
"074105-2025-CMPL","09/22/2025","311","Misc Non-Food Retail","Exchange/Refund/Return","BA-1748279-2025","H- mart","10/22/2025","Requested Information Not Provided",,,,"38","W 32ND ST",,,"NEW YORK","10001","Manhattan"
"074110-2025-CMPL","09/22/2025","Online","Other","Other - Z01","BA-1747934-2025","Tina's Exotic Lounge & Cocktail Bar","10/15/2025","Referred","NYC Police Department",,,"11602","LIBERTY AVE",,,"SOUTH RICHMOND HILL","11419","Queens"
"074117-2025-CMPL","09/22/2025","311","Gas Station-Retail","Inaccurate Device; Exchange/Refund/Return","BA-1748054-2025","KINGS HIGHWAY GAS (BP GAS STATION)","10/23/2025","Requested Information Not Provided",,,,"5824","CHURCH AVE",,,"BROOKLYN","11203","Brooklyn"
"074120-2025-CMPL","09/22/2025","Email/Fax","Garage & Parking Lot",,"BA-1741735-2025","PARK RIGHT MANAGEMENT LLC","10/02/2025","Cash Amount - AMT",,,"$2,000","605","WEST 42 STREET",,,"NEW YORK","10036","Manhattan"
"074151-2025-CMPL","09/22/2025","311","Tow Truck Company","Billing Dispute - B02","BA-1748083-2025","VMA AUTO COLLISION","10/23/2025","Requested Information Not Provided",,,,,,,,,,
"074130-2025-CMPL","09/22/2025","311","Auto Rental","Exchange/Refund/Return","BA-1748061-2025","Truck and mobility","10/23/2025","Requested Information Not Provided",,,,,"21 STREET",,,,"11101","Queens"
"074159-2025-CMPL","09/22/2025","Online","Grocery-Retail","Other - Z01","BA-1747994-2025","118-07 Alexander Deli Grocery Corp","10/09/2025","Referred","NYS Liquor Authority",,,,"11807 Sutphin Blvd",,,"Jamaica","11434","Queens"
"074101-2025-CMPL","09/22/2025","311","Supermarket","Advertising/Misleading - A02","BA-1748278-2025","Shoprite","10/22/2025","Requested Information Not Provided",,,,"2656","HYLAN BLVD",,,"STATEN ISLAND","10306","Staten Island"
"074170-2025-CMPL","09/22/2025","311","Other","Sidewalk Blocked","BA-1748454-2025","Monitex","10/15/2025","Referred","NYC Police Department",,,"4026","PARK AVE",,,"BRONX","10457","Bronx"
"074184-2025-CMPL","09/22/2025","311","Drug Store Retail","Non-Delivery of Goods - N01","BA-1748043-2025","Lindenwood Rx center Inc","10/23/2025","Requested Information Not Provided",,,,"1380","LORING AVE",,,"BROOKLYN","11208","Brooklyn"
"074107-2025-CMPL","09/22/2025","Online","Other","Other - Z01","BA-1688331-2024","CLEAN RITE CENTERS","10/06/2025","Complaint Review Complete",,,,"11205","SUTPHIN BLVD",,,"JAMAICA","11435","Queens"
"074164-2025-CMPL","09/22/2025","Email/Fax","Salons And Barbershop","Exchange/Refund/Return","BA-1748000-2025","STYLO BEAUTY SALON INC.","10/22/2025","Requested Information Not Provided",,,,"11202","101ST AVE",,,"SOUTH RICHMOND HILL","11419","Queens"
"074113-2025-CMPL","09/22/2025","Online","Other","Other - Z01","BA-1747936-2025","MONTEFIORE MEDICAL CENTER","10/10/2025","Referred","NYS Department of Financial Services",,,"1825","EASTCHESTER RD","STE","490","BRONX","10461","Bronx"
"074160-2025-CMPL","09/22/2025","311","Restaurant","Required Signage Not Posted","BA-1748045-2025","Sariq Bola Pizza","10/23/2025","Requested Information Not Provided",,,,"3001","AVENUE U",,,"BROOKLYN","11229","Brooklyn"
"074108-2025-CMPL","09/22/2025","Online","Other","Other - Z01","BA-1747932-2025","Tina's Exotic Lounge & Cocktail Bar","10/03/2025","Referred","NYC Police Department",,,"11602","LIBERTY AVE",,,"SOUTH RICHMOND HILL","11419","Queens"
"074142-2025-CMPL","09/22/2025","Email/Fax","Other",,"BA-1747969-2025","The Dermatology Specialists - Ridgewood","10/22/2025","Requested Information Not Provided",,,,"5627","MYRTLE AVE",,,"RIDGEWOOD","11385","Queens"
"074152-2025-CMPL","09/22/2025","Email/Fax","Secondhand Dealer - Auto",,"BA-1747985-2025","CAPITAL AUTO SALVAGE & SALES, INC.","10/22/2025","Requested Information Not Provided",,,,"4600","METROPOLITAN AVE",,,"RIDGEWOOD","11385","Queens"
"074146-2025-CMPL","09/22/2025","311","Misc Non-Food Retail","Exchange/Refund/Return","BA-1748047-2025","coway co.","10/23/2025","Requested Information Not Provided",,,,"4024","COLLEGE POINT BLVD",,,"FLUSHING","11354","Queens"
"074100-2025-CMPL","09/22/2025","Online","Landlord or Real Estate Agent","Broker Fee Listed","BA-1738212-2025","Alma Realty Corp.","10/03/2025","Complaint Review Complete",,,,,"3110 37TH Ave Ste 500",,,"Long Island City","11101",
"074150-2025-CMPL","09/22/2025","311","Supermarket","Receipt Incomplete/Inaccurate/Not Given","BA-1748033-2025","Italian 718-913-4977","10/23/2025","Requested Information Not Provided",,,,,"BRIGHTON 1 STREET",,,"new york","11235","Brooklyn"
"074102-2025-CMPL","09/22/2025","311","Hotel","Notice of Rights Not Provided","BA-1747947-2025","Fairfield Inn","10/25/2025","Requested Information Not Provided",,,,"310","WILD AVE",,,"STATEN ISLAND","10314","Staten Island"
"074148-2025-CMPL","09/22/2025","311","Booting Company","Unauthorized tow","BA-1748357-2025","KNIGHTS COLLISION EXPERTS, INC.","10/24/2025","Requested Information Not Provided",,,,"2000","EASTERN PKWY",,,"BROOKLYN","11233","Brooklyn"
"074122-2025-CMPL","09/22/2025","311","Garage & Parking Lot","Advertising/Misleading - A02","BA-1615984-2023","QUIK PARK CHESAPEAKE LLC","10/23/2025","Requested Information Not Provided",,,,"400","E 81ST ST",,,"NEW YORK","10028","Manhattan"
"074140-2025-CMPL","09/22/2025","311","Misc Non-Food Retail","Exchange/Refund/Return","BA-1748055-2025","EQUIPMALL CORP","10/23/2025","Requested Information Not Provided",,,,"53","CHRYSTIE ST",,,"NEW YORK","10002","Manhattan"
"074123-2025-CMPL","09/22/2025","311","Misc Non-Food Retail","Damage / Estimate; Non-Delivery of Goods - N01","BA-1748117-2025","Steinway Eyecare Center Inc.","10/07/2025","Duplicate Complaint - DUP",,,,"3025","STEINWAY ST",,,"ASTORIA","11103","Queens"
"074072-2025-CMPL","09/21/2025","311","Laundries","Non-Delivery of Goods - N01",,,"09/22/2025","Referred","Other",,,,,,,,,
"074041-2025-CMPL","09/21/2025","311","Retail Laundry","Exchange/Refund/Return",,,"09/22/2025","Insufficient Info Received",,,,,,,,,,
"074067-2025-CMPL","09/21/2025","311","Pedicab Business","Advertising/Misleading - A02",,,"09/22/2025","Referred","NYC Taxi & Limousine Commission",,,,,,,,,
"074071-2025-CMPL","09/21/2025","311","Ticket Seller Business","Advertising/Misleading - A02",,,"09/22/2025","Referred","NYC Police Department",,,,,,,,,
"074050-2025-CMPL","09/21/2025","311","Secondhand Dealer - General","Advertising/Misleading - A02",,,"09/22/2025","No Jurisdiction",,,,,,,,,,
"074065-2025-CMPL","09/21/2025","311","Grocery-Retail","Advertising/Misleading - A02",,,"09/23/2025","Referred","NYC Human Resources Administration",,,,,,,,,
"074059-2025-CMPL","09/21/2025","311","Tobacco Retail Dealer","Unlicensed","BA-1712615-2024","AMBOY BEVERAGE & CONVENIENCE 1 CORP.","09/22/2025","Referred","NYC Police Department",,,"7095","AMBOY RD",,,"STATEN ISLAND","10307","Staten Island"
"074046-2025-CMPL","09/21/2025","311","Other","Advertising/Misleading - A02",,,"09/25/2025","Complaint Review Complete",,,,,,,,,,
"074056-2025-CMPL","09/21/2025","311","Misc Non-Food Retail","Receipt Incomplete/Inaccurate/Not Given",,,"09/22/2025","Insufficient Info Received",,,,,,,,,,
"074068-2025-CMPL","09/21/2025","311","Garage & Parking Lot","License or Complaint Sign Not Displayed",,,"09/22/2025","Referred","NYC Department of Buildings",,,,,,,,,
"074095-2025-CMPL","09/21/2025","311","Car Wash","Unlicensed",,,"09/22/2025","Referred","NYC Department of Sanitation",,,,,,,,,
"074082-2025-CMPL","09/21/2025","311","Other","Unlicensed","BA-1747940-2025","Resource Building Mason Supplies","09/22/2025","Referred","NYC Department of Buildings",,,"15117","POWELLS COVE BLVD",,,"WHITESTONE","11357","Queens"
"074051-2025-CMPL","09/21/2025","311","Landlord or Real Estate Agent","Fees or Surcharges Not Disclosed",,,"09/24/2025","Complaint Review Complete",,,,"221","SHERMAN AVE",,,"NEW YORK","10034","Manhattan"
"074063-2025-CMPL","09/21/2025","311","Car Wash","Unlicensed",,,"09/24/2025","Referred","NYC Department of Sanitation",,,,"PARK AVENUE",,"Intersection",,"10456","Bronx"
"074085-2025-CMPL","09/21/2025","311","Supermarket","Non-Delivery of Goods - N01; Other - Z01","BA-1747993-2025","shop fair supermarket","09/22/2025","Referred","NYS Department of Agriculture and Markets",,,"1161","SUTTER AVE",,,"BROOKLYN","11208","Brooklyn"
"074052-2025-CMPL","09/21/2025","311","Secondhand Dealer - General","Advertising/Misleading - A02",,,"09/22/2025","No Jurisdiction",,,,,,,,,,
"074057-2025-CMPL","09/21/2025","311","Other","Sidewalk Blocked","BA-1748006-2025","KENTUCKY FRIED CHICKE","09/22/2025","Referred","NYC Department of Sanitation",,,"242","E 14TH ST",,,"NEW YORK","10003","Manhattan"
"074094-2025-CMPL","09/21/2025","311","Drug Store Retail","Non-Delivery of Goods - N01","BA-1748394-2025","NAVAR PHARMACY","09/26/2025","No Jurisdiction",,,,"3002","AVENUE M",,,"BROOKLYN","11210","Brooklyn"
"074060-2025-CMPL","09/21/2025","311","Grocery-Retail","Door Open with Air Conditioning On","BA-1748004-2025","EAST 86TH DELI AND GROCERY CORP","09/22/2025","Complaint Review Complete",,,,"355","E 86TH ST",,,"NEW YORK","10028","Manhattan"
"074080-2025-CMPL","09/21/2025","311","Car Wash","Unlicensed",,,"09/22/2025","Referred","NYC Department of Sanitation",,,,,,,,,
"074087-2025-CMPL","09/21/2025","311","Retail Laundry","Broken Machines",,,"09/22/2025","Referred","Other",,,,,,,,,
"074040-2025-CMPL","09/21/2025","311","Landlord or Real Estate Agent","Broker Fee Listed",,,"09/22/2025","Insufficient Info Received",,,,"8115","QUEENS BLVD",,,"ELMHURST","11373","Queens"
"074042-2025-CMPL","09/21/2025","311","Electronic Cigarette Dealer","Prohibited Item Sale to Minor","BA-1602135-2023","VALENTINE FOOD CORP.","09/22/2025","Inspection Requested","INS-000891595",,,"2840","VALENTINE AVENUE",,,"BRONX","10458","Bronx"
"074054-2025-CMPL","09/21/2025","311","Other","License or Complaint Sign Not Displayed",,,"09/22/2025","Complaint Review Complete",,,,,,,,,,
"074062-2025-CMPL","09/21/2025","311","Gas Station-Retail","Broken Machines; Short measure","BA-1429128-2022","MUKTI 187 PETROLEUM INC","09/24/2025","Complaint Review Complete",,,,"18741","HILLSIDE AVE",,,"JAMAICA","11432","Queens"
"074058-2025-CMPL","09/21/2025","311","Other","Sidewalk Blocked","BA-1748008-2025","The Laurels Restaurant","09/22/2025","Referred","NYC Department of Sanitation",,,"231","2ND AVE",,,"NEW YORK","10003","Manhattan"
"074070-2025-CMPL","09/21/2025","311","Supermarket","Price Not Posted","BA-1747945-2025","Mahfood Market","09/22/2025","Referred","NYS Office of the Attorney General",,,"648","WASHINGTON AVE",,,"BROOKLYN","11238","Brooklyn"
"074076-2025-CMPL","09/21/2025","311","Auto Rental","Non-Delivery of Goods - N01",,,"09/23/2025","Insufficient Info Received",,,,,,,,,,
"074081-2025-CMPL","09/21/2025","311","Misc Non-Food Retail","Cashless Business",,,"09/22/2025","Insufficient Info Received",,,,,,,,,,
"074079-2025-CMPL","09/21/2025","311","Misc Non-Food Retail","Price Not Posted","BA-1748176-2025","Triple777","10/24/2025","Requested Information Not Provided",,,,"715","FAIRVIEW AVE",,,"RIDGEWOOD","11385","Queens"
"074048-2025-CMPL","09/21/2025","Online","Other","Other - Z01","BA-1747915-2025","BATH & BODY WORKS, LLC","10/03/2025","Referred","US Department of Labor: Employment Standards Administration Wage and Hour Division",,,,"112 W 125TH St 118",,,"New York","10027",
"074047-2025-CMPL","09/21/2025","311","Garage & Parking Lot","Lost/Stolen/Damaged Property","BA-1233615-2022","EZ EXPRESS PARKING CORP.","10/24/2025","Requested Information Not Provided",,,,,,,,,,
"074083-2025-CMPL","09/21/2025","Online","Other","Other - Z01","BA-1747920-2025","Sixty Sixty Bedford","10/10/2025","Referred","Other",,,"1101","BEDFORD AVE",,,"BROOKLYN","11216","Brooklyn"
"074088-2025-CMPL","09/21/2025","Online","Other","Other - Z01; Unlicensed","BA-1747924-2025","Sixty Sixty South Bronx","10/03/2025","Referred","Other",,,"258","E 138TH ST",,,"BRONX","10451","Bronx"
"074061-2025-CMPL","09/21/2025","Online","Debt Collection Agency","Other - Z01","BA-1566723-2022","RESURGENT CAPITAL SERVICES L.P.","10/22/2025","Bill Reduced - BLR",,"$638",,,"55 Beattie Pl Ste 110",,,"Greenville","29601",
"074045-2025-CMPL","09/21/2025","311","Restaurant","Overcharge","BA-1748253-2025","Shashlak House","10/22/2025","Requested Information Not Provided",,,,"102","CORTELYOU RD",,,"BROOKLYN","11218","Brooklyn"
"074064-2025-CMPL","09/21/2025","Online","Storage Warehouse","Other - Z01","BA-1571899-2023","MANHATTAN MINI STORAGE","10/10/2025","Referred","NYC Department of Health & Mental Hygiene",,,"401","E 110TH ST",,,"NEW YORK","10029","Manhattan"
"074086-2025-CMPL","09/21/2025","311","Drug Store Retail","Non-Delivery of Goods - N01","BA-1747946-2025","Longwood drug and surgical","10/22/2025","Requested Information Not Provided",,,,"839","PROSPECT AVE",,"839 prospect ave","BRONX","10459","Bronx"
"074097-2025-CMPL","09/21/2025","Online","Car Wash","Unlicensed","BA-1699092-2024","UNLICENSED CAR WASH PARK AVE & ST PAULS PL","10/03/2025","Referred","NYC Department of Sanitation",,,,"PARK AVENUE",,,"Bronx","10456","Bronx"
"074093-2025-CMPL","09/21/2025","Online","Other","Other - Z01","BA-1747925-2025","Area 53 LLC","10/03/2025","Referred","Other",,,,"616 Scholes St",,,"Brooklyn","11237","Brooklyn"
"074043-2025-CMPL","09/21/2025","311","Garage & Parking Lot","Lost/Stolen/Damaged Property","BA-1748251-2025","Bleecker Street Garage LLC","10/22/2025","Requested Information Not Provided",,,,"221","W 10TH ST",,,"NEW YORK","10014","Manhattan"
"074090-2025-CMPL","09/21/2025","311","Electronics Store","Billing Dispute - B02","BA-1747944-2025","T-Mobile","10/22/2025","Requested Information Not Provided",,,,"5723","MAIN ST",,,"FLUSHING","11355","Queens"
"073990-2025-CMPL","09/20/2025","311","Supermarket","Dissatisfaction with Provider; Receipt Incomplete/Inaccurate/Not Given; Faulty Installation/Repair","BA-1747995-2025","Lidl","09/22/2025","Complaint Review Complete",,,,"25901","UNION TPKE",,,"GLEN OAKS","11004","Queens"
"074001-2025-CMPL","09/20/2025","311","Misc Non-Food Retail","Advertising/Misleading - A02",,,"09/22/2025","Insufficient Info Received",,,,,,,,,,
"074013-2025-CMPL","09/20/2025","311","Misc Non-Food Retail","Non-Delivery of Goods - N01",,,"09/22/2025","Referred","NYS Office of the Attorney General",,,,,,,,,
"074025-2025-CMPL","09/20/2025","311","Temporary Street Fair Vendor Permit","Unlicensed",,,"09/22/2025","Insufficient Info Received",,,,,,,,,,
"074006-2025-CMPL","09/20/2025","311","Retail Laundry","Scale Inaccurate/Broken","BA-1747958-2025","AMY'S LAUNDROMAT INC","09/24/2025","Complaint Review Complete",,,,"22402","BRADDOCK AVE",,,"QUEENS VILLAGE","11428","Queens"
"074031-2025-CMPL","09/20/2025","311","Restaurant","Price Gouging",,,"09/22/2025","Referred","NYS Liquor Authority",,,,,,,,,
"074038-2025-CMPL","09/20/2025","311","Misc Non-Food Retail","Price Not Posted","BA-1748017-2025","Tribeca’s Finest Marketplace","09/22/2025","Insufficient Info Received",,,,"393","CANAL ST",,,"NEW YORK","10013","Manhattan"
"073978-2025-CMPL","09/20/2025","311","Drug Store Retail","Receipt Incomplete/Inaccurate/Not Given","BA-1747957-2025","Fine Care Drugs corp.","09/22/2025","Referred","NYS Department of Education: Office of Professional Discipline",,,"981","FULTON ST",,,"BROOKLYN","11238","Brooklyn"
"074008-2025-CMPL","09/20/2025","311","Car Wash","Unlicensed",,,"09/22/2025","Referred","NYC Department of Sanitation",,,"6683B","BROADWAY",,,"BRONX","10471","Bronx"
"074011-2025-CMPL","09/20/2025","311","Other","Unlicensed",,,"09/22/2025","Referred","NYC Department of Sanitation",,,,,,,,,
"074007-2025-CMPL","09/20/2025","311","Misc Non-Food Retail","Advertising/Misleading - A02","BA-1747965-2025","JAYLI INTERNATIONAL DELI INC.","09/22/2025","Insufficient Info Received",,,,"9411","ASTORIA BLVD",,,"EAST ELMHURST","11369","Queens"
"074028-2025-CMPL","09/20/2025","311","Misc Non-Food Retail","Overcharge",,,"09/22/2025","Insufficient Info Received",,,,,,,,,,
"074017-2025-CMPL","09/20/2025","311","Temporary Street Fair Vendor Permit","Unlicensed",,,"09/22/2025","No Jurisdiction",,,,,,,,,,
"073980-2025-CMPL","09/20/2025","311","Specialized Vending License - MFV","Unlicensed","BA-1747949-2025","Alli","09/22/2025","Referred","NYC Department of Sanitation",,,"2532","STEINWAY ST",,"4C","ASTORIA","11103","Queens"
"073969-2025-CMPL","09/20/2025","Online","Hotel",,"BA-1558973-2022","TEST RECORD DO NOT PROCESS","09/20/2025","Complaint Review Complete",,,,"42","BROADWAY","BLDG","42","NEW YORK","10004","Manhattan"
"074005-2025-CMPL","09/20/2025","311","Garage & Parking Lot","Unlicensed",,,"09/22/2025","Insufficient Info Received",,,,,,,,,,
"074037-2025-CMPL","09/20/2025","311","Other","Sidewalk Blocked",,,"09/22/2025","Referred","NYC Police Department",,,,,,,,,
"073976-2025-CMPL","09/20/2025","311","Drug Store Retail","Non-Delivery of Goods - N01","BA-1747998-2025","Riverdale Pharmacy","09/22/2025","Referred","NYC Department of Health & Mental Hygiene",,,"5669","RIVERDALE AVE",,,"BRONX","10471","Bronx"
"073970-2025-CMPL","09/20/2025","Online","Newsstand",,"BA-1747893-2025","test record do no enter","09/20/2025","Complaint Review Complete",,,,"42","BROADWAY",,,"NEW YORK","10004","Manhattan"
"073983-2025-CMPL","09/20/2025","311","Misc Non-Food Retail","Non-Delivery of Goods - N01","BA-1748321-2025","51 fresh bakery DVA talavera cafe restaurant","09/25/2025","Referred","Other",,,"5017","SKILLMAN AVE",,,"WOODSIDE","11377","Queens"
